MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
13,1,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,36,WIN,37:23,Necrophos,Lina,Elder Titan,Phantom Lancer,Rubick
13,2,Para Bellum 2020 Dota2 Tournament,Army Geniuses,radiant,33,WIN,39:30,Arc Warden,Legion Commander,Clockwerk,Kunkka,Snapfire
13,2,Para Bellum 2020 Dota2 Tournament,Neon Esports,dire,25,LOSE,39:30,Morphling,Oracle,Doom,Leshrac,Disruptor
13,3,Para Bellum 2020 Dota2 Tournament,Army Geniuses,radiant,16,LOSE,38:12,Huskar,Slark,Legion Commander,Lich,Nyx Assassin
13,3,Para Bellum 2020 Dota2 Tournament,Neon Esports,dire,31,WIN,38:12,Templar Assassin,Enchantress,Earthshaker,Lifestealer,Snapfire
14,1,Para Bellum 2020 Dota2 Tournament,Sterling Global Dragons,dire,27,LOSE,47:52,Slark,Doom,Ember Spirit,Lich,Tiny
14,1,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,44,WIN,47:52,Monkey King,Legion Commander,Shadow Fiend,Elder Titan,Rubick
14,2,Para Bellum 2020 Dota2 Tournament,Sterling Global Dragons,radiant,29,WIN,42:40,Templar Assassin,Elder Titan,Morphling,Doom,Rubick
14,2,Para Bellum 2020 Dota2 Tournament,Neon Esports,dire,24,LOSE,42:40,Clockwerk,Lina,Lifestealer,Abaddon,Disruptor
14,3,Para Bellum 2020 Dota2 Tournament,Sterling Global Dragons,dire,30,LOSE,65:01,Arc Warden,Storm Spirit,Winter Wyvern,Doom,Elder Titan
14,3,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,35,WIN,65:01,Underlord,Drow Ranger,Undying,Magnus,Rubick
14,4,Para Bellum 2020 Dota2 Tournament,Sterling Global Dragons,radiant,34,WIN,44:03,Timbersaw,Medusa,Vengeful Spirit,Shadow Fiend,Disruptor
14,4,Para Bellum 2020 Dota2 Tournament,Neon Esports,dire,19,LOSE,44:03,Outworld Devourer,Winter Wyvern,Lifestealer,Leshrac,Omniknight
14,5,Para Bellum 2020 Dota2 Tournament,Sterling Global Dragons,radiant,6,LOSE,28:03,Naga Siren,Doom,Shadow Fiend,Elder Titan,Puck
14,5,Para Bellum 2020 Dota2 Tournament,Neon Esports,dire,26,WIN,28:03,Disruptor,Monkey King,Templar Assassin,Centaur Warrunner,Rubick
15,1,Hot Price League,Try2Win,dire,6,LOSE,18:09,Faceless Void,Omniknight,Disruptor,Winter Wyvern,Skywrath Mage
15,1,Hot Price League,Empire Hope,radiant,41,WIN,18:09,Tiny,Invoker,Lich,Magnus,Puck
15,2,Hot Price League,Try2Win,radiant,19,LOSE,28:29,Centaur Warrunner,Razor,Undying,Huskar,Puck
15,2,Hot Price League,Empire Hope,dire,39,WIN,28:29,Windranger,Slark,Omniknight,Tiny,Disruptor
16,1,Hot Price League,New Five,radiant,43,WIN,29:47,Lina,Pangolier,Morphling,Lich,Tiny
16,1,Hot Price League,Try2Win,dire,18,LOSE,29:47,Invoker,Jakiro,Slark,Brewmaster,Dazzle
16,2,Hot Price League,New Five,dire,41,WIN,20:12,Lycan,Beastmaster,Shadow Fiend,Jakiro,Leshrac
16,2,Hot Price League,Try2Win,radiant,15,LOSE,20:12,Storm Spirit,Riki,Phoenix,Nyx Assassin,Disruptor
17,1,Hot Price League,Try2Win,dire,6,LOSE,16:44,Bloodseeker,Lina,Skywrath Mage,Brewmaster,Winter Wyvern
17,1,Hot Price League,Khan,radiant,27,WIN,16:44,Lone Druid,Batrider,Slark,Io,Tiny
17,2,Hot Price League,Try2Win,radiant,13,LOSE,22:38,Broodmother,Batrider,Clockwerk,Slark,Dazzle
