,MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
58,15,2,ESL One Birmingham  2019,Team Liquid,radiant,38.0,WIN,49:13,Arc Warden,Troll Warlord,Earthshaker,Nature's Prophet,Shadow Shaman
59,15,2,ESL One Birmingham  2019,Vici Gaming,dire,40.0,LOSE,49:13,Lina,Mars,Sven,Warlock,Nyx Assassin
60,16,1,ESL One Birmingham  2019,Gambit Esports,dire,31.0,WIN,48:20,Night Stalker,Morphling,Rubick,Lone Druid,Chen
61,16,1,ESL One Birmingham  2019,Alliance,radiant,16.0,LOSE,48:20,Phantom Lancer,Necrophos,Lion,Mars,Io
62,16,2,ESL One Birmingham  2019,Gambit Esports,radiant,36.0,WIN,31:01,Shadow Fiend,Wraith King,Bane,Centaur Warrunner,Winter Wyvern
63,16,2,ESL One Birmingham  2019,Alliance,dire,12.0,LOSE,31:01,Ember Spirit,Necrophos,Earth Spirit,Oracle,Troll Warlord
64,17,1,ESL One Birmingham  2019,Gambit Esports,radiant,27.0,WIN,34:21,Shadow Fiend,Bane,Sven,Grimstroke,Centaur Warrunner
65,17,1,ESL One Birmingham  2019,Keen Gaming,dire,15.0,LOSE,34:21,Razor,Tidehunter,Gyrocopter,Nyx Assassin,Io
66,17,2,ESL One Birmingham  2019,Gambit Esports,dire,18.0,WIN,19:44,Templar Assassin,Batrider,Earth Spirit,Wraith King,Chen
67,17,2,ESL One Birmingham  2019,Keen Gaming,radiant,1.0,LOSE,19:44,Phantom Lancer,Timbersaw,Troll Warlord,Crystal Maiden,Doom
68,18,1,ESL One Birmingham  2019,Gambit Esports,dire,11.0,LOSE,32:02,Underlord,Morphling,Shadow Demon,Lone Druid,Nyx Assassin
69,18,1,ESL One Birmingham  2019,PSG.LGD,radiant,37.0,WIN,32:02,Naga Siren,Storm Spirit,Mars,Pangolier,Shadow Shaman
70,18,2,ESL One Birmingham  2019,Gambit Esports,dire,19.0,LOSE,31:31,Ember Spirit,Juggernaut,Doom,Shadow Shaman,Pangolier
71,18,2,ESL One Birmingham  2019,PSG.LGD,radiant,28.0,WIN,31:31,Templar Assassin,Ancient Apparition,Sven,Dark Seer,Nyx Assassin
72,19,1,ESL One Birmingham  2019,Gambit Esports,radiant,23.0,LOSE,36:43,Ursa,Storm Spirit,Shadow Shaman,Dark Seer,Nyx Assassin
73,19,1,ESL One Birmingham  2019,Evil Geniuses,dire,32.0,WIN,36:43,Death Prophet,Phantom Assassin,Pudge,Warlock,Pangolier
